muong,viet,mu_sentence,vi_sentence
càu nhàu,càu nhàu,Là cải chỉ mà cử càu nhàu điênh thỉa.,Làm cái gì mà cứ càu nhàu hoài như vậy.
càu nối,cầu nổi,Càu nối hốc là càu phao.,Cẩu nổi gọi là cầu phao.
càu tiêu,cẩu tiêu,Càu tiêu phái là xa nhà.,Cầu tiêu phải làm xa nhà.
càu vai,cẩu vai,Ho hảo băl hal cải càu vai ớ kénh vai.,Tôi muốn mua hai cái cầu vai ở bả vai.
càu wiễn,cầu nguyện,Nả luôn càu wiễn cho ố nhà nả ản khú khoé.,Nó luôn cầu nguyện cho gia đình nhà nó được sức khoẻ.
cảu,"cáu, lá cáu (một loại lá để ăn với trầu)",,
cảu,cú mèo,Con cầu khổng wềl têm.,Con cú mèo sống về đêm.
cảu,đục,"Cải đác chiểng ớ ni chăng ản tlong, nả cáu quả.","Nước giếng ở đây không được trong, nó đục quá."
cảu ha,"cú mèo rên, la (con cứ mèo rên thường báo điềm gở)",Cầu ha ma hênh.,Cứ la ma rên.
cảu lúng,đực ngầu,Đác pển nì cảu lúng ti rồi.,Nước suối này đục ngầu lên rồi.
cay,lá ăn cay (một loại lá dùng làm gia vị),,
cay tẳng,cay đắng,Thua keo nì quả là cay tẳng.,Thưa heo này quả là cay đắng.
cày,"cày (ít dùng, thường dùng cằl)","Bất puối cày, may puối dố.","Mất buổi cày, may buổi giỗ."
cảy,mẹ,Cảy ho cã nò y thương yêu ho.,Mẹ tôi lúc nào cũng yêu thương tôi.
cảy,"cái, con",Cảy cẳl.,"Cái cày, chiếc cày."
cảy,"cái, con",Cảy cả.,Con cá.
cảy ả,cảy mua,,
Cảy ca,con gà,Cảy ca cẳl lảng.,Con gà gáy sóng.
cảy cằm,"cảy gắm (dây gắm có quả ăn được, leo trong rừng)",,
cảy chiềng,"cái buổi, buổi",Cảy chiềng dao dua.,Cái bưổi sớm mai.
cảy chiềng dao khởm,cái buổi mai sớm; buổi sớm mai,,
cảy chiềng hôm dấp,cái buổi đêm qua; hôm qua,,
cảy tlời,"cái trời hôm, trời, ông trời",,
cảy con,cái con; đứa con,Cảy nì là con ho.,Đây là con tôi.
cảy con,cái con; đứa con,Nả là cảy con ho.,Nó là con tôi.
cảy con,mẹ con,Cá hal cảy con nả tều khóe.,Cả hai mẹ con nó đều khỏe.
cảy cơn,cái cơn; cơn,Ăn tlù pỡi hà cho tẩng tã cảy cơn lòng puồn.,Ăn miếng trầu với nhau cho đã cái cơn lòng buồn.
cảy dường cân têm,"cái lúc nửa đêm, lúc nửa đêm","Ca cẳl wẳl wắc cảy dường cân têm thêm puồn, thêm nhở.",Gà gáy eo óc lúc nủa đêm thêm buồn thêm nhớ.
cảy đác,"cái nước, nước","Chăng cỏ cảy cúi, cảy đác chi.","Chẳng có củi, nước gì cả."
cảy đốc,"cái thuyền đò; thuyền, đò",Tèo liênh cảy đốc tí ha xuôi không.,Trèo lên cái đò đó để ta xuôi sông.
cảy khảng,cái tháng; tháng,Cảy kháng páy hay mưa dào.,Cái tháng bảy hay mưa lũ.
cảy khảng,"cái trăng, mặt trăng, trăng",Con khao cảy khảng hãng hãng clênh clời.,Ngôi sao mặt trăng rạng rạng trên trời.
cảy khao,"cái sao, ngôi sao",Cảy khao tlênh tlời tà hảo lẵn.,Ngôi sao trên trời đã sắp lặn.
cảy khây,"cái khi; khi, lúc, thời",Ha tỗl hà pớ cẩy khây tà lô.,Ta gặp nhau từ cái thời đã lâu.
cảy khũ,"cái núi đó; núi đá, đá",Ti liênh cảy khũ.,Đi iên núi đá.
cảy khữ,cái sự; sự việc,Là po lãi xáy tha cải khữ ni?,Làm sao mà xẩy ra sự này?
cảy lòng,cái lòng; tấm lòng,Cảy lòng ủn thốch.,"Cái lòng em tốt, em có tấm lòng tốt (em là người tốt bụng)."
cảy mễ,"cái mẹ; mẹ, hoặc bậc làm mẹ, làm cô",Qua là cảy mễ pay là thôn con.,"Chúng tao là bậc cái mẹ, bay là bậc con cháu."
cảy mõl,"cái người, con người, người Mường",Da là Mõl hay Hữ.,Mày là người Mường hay người Thái.
cảy ỗi,cái bạn; bạn,"Cảy ỗi, cảy pãn cười hãn hãn tliênh nhà.",Bạn cười râm ran trên nhà.
cảy ông,cái ông; ông,Tàn cảy ông thầy.,Các ông thầy.
cảy pac,cái bạc; kim loại bạc,Lằm pac.,Vòng bằng bạc.
cảy pên,cái bên; bên,Da ớ cảy pên tàng nò?,Mày ở bên nào?
cầy quả,mẹ góa,"Tlăm khữ nhờ tàn bác, con côi cảy quả chăng mắt tí là po.",Trăm sự là nhờ các bác phận con côi mẹ góa không biết phải làm sao.
cảy tả,cái ông (ông nội hoặc người đàn ông lớn tuổi gọi với ý tôn kính),Cảy tả Cần.,Ông Cần.
cảy té,mẹ đẻ,Tiếnh nỗi cảy té nả mà còn chăng ớ nối pỡi nả.,Đến nỗi mẹ đẻ nó mà còn không sống nổi với nó.
cảy thân,"cái thân, thân, thân phận",Phẫn ủn là cảy thân con cải enh ơi.,Phận em lò cái thân con gái anh ơi.
cảy the,giun sán,Tlỗng da chắc cỏ từ cảy the lẳm điênh chăng cá ản.,Trong bụng em chắc có nhiều giun sản lắm nên không lớn nổi.
cảy thiển,cái tiền; tiền,"Cảy thiền, cảy pac chăng cỏ.","Cái tiền, cái bạc chẳng có."
cầy thit,cái thịt; thịt ăn,Chăng cỏ cảy thit cảy hau chỉ mà ăn.,Chẳng có thịt rau gì mà ăn.
cảy tỉn,dưới,Ớ cảy tỉn đác.,Ở đưới nước.
cảy tỉn,nước vào đây gáo (cho chảy qua lỗ dùi để tính thời gian trong cuộc uống thì rượu cần),,
cảy ỷ dì.,"Mễ nả chít, nả ớ pỡi cảy ỷ cúa nả",Mẹ nó chết nó ở với người dì.,
cảy xol,"một loại cây thân dây leo, mọc ở trên rừng, rất dai",,
cảy,cạy,Hòn khũ nì da mởi cãy liênh à?,Hòn đá này cậu mới cạy lên à?
cằl,cày,Ngày dao ho còn phái ti cằl.,Ngày mai tôi còn phải đi cày.
cằl ái,cày ải,Nà nì mới cằl ái.,Ruộng này mới cài ải.
cằl cẩl,cày cấy,Tiếnh mùa cằl cẩl điênh tua mái tha.,Đến mùa cày cấy đảm ra.
cằl chác,cà chác (tiếng phát ra khi chém đập vào vật gì đó),,
cằl chiểng,cà chiềng (tiếng phát ra do hai vật chạm vào nhau),,
cằl khẫm,"cà râm (chỉ âm nhạc rất vui, hay)",,
cằl tlainh,cà lăn (miêu tả một từ thế năm thoải mới),Nằm cằl tlainh.,Nằm vô tư thoải mái.
cằl tlênh,"mô tả một tư thế nằm của người to béo, hoặc khúc gỗ nằm trên bái cỏ",Nằm cãi tlênh nhơ tỏng cúi cá.,Nằm như khúc củi to.
cằl da,(nở) rộ trông đẹp mắt,Khảng pa cài da pông mẫn.,Tháng ba mường Bì hoa mận nở rộ đẹp tươi.
cằl dắp,"mô tả sự xuất hiện hoặc nở rộ (của nhiều loại hoa hoặc sao trời, người đi đông ngoài đồng)",Tlời cằl dắp con khao.,Trời đây sao lấp lánh.
cằl dẩm,mô tả những quả trứng ở trong núi đá đẻ ra muôn loài,,
cằl dỉu,mô tả kích thước to lớn của vật,,
cằl dương,mô tả kích thước to lớn của vật,,
cằl hải,mô tả tiếng kêu của con chim kêu rất lảnh lót,,
cằl hương,đẹp,,
cằl khái cằl khữa,nhiều,,
cằl khám,mô tả tiếng nhai trâu,,
cằl khắc,cà nhắc,,
cằl khăng,cà khăng,,
cằl khĩ,mô tả đồng nhất về âm hưởng êm ái của nhạc,Cằl khi ổng ôi.,Tiếng sáo ôi ngọt ngào tha thiết.
cằl khính,mô tả sự đồng nhất về âm hưởng tạo thành một dòng nhạc êm ái,"Tãi cò ke, hủl ổng khảo cằl khính, cằl khẫm.",Hoà nhạc cò ke ống sáo rất đều và ngọt ngào êm ái.
cằl khơi,mô tả âm thanh êm ái thoải mái của nhạc,Cò ke ống khảo cằl khính cằl khơi.,Nhạc cò ke ống sáo êm đềm thoải mái.
cằl mẻo,mô tả sự trong trẻo mềm mại của tiếng nói,Khôn mồm cằl mẻo.,Lời nói khôn khéo giọng nói trong trẻo.
cằl nà,cày ruộng,Ngày dao ho còn phái ti cằl nà cho ông Măng.,Ngày mai tôi còn phải đi cày ruộng cho ông Măng.
cằl pừa,cày bừa,Cài pừa là wiêc cúa nhà nông.,Cày bừa là việc của nhà nông.
cằl nhảng cằl nhé,miêu tả quả trứng có phát ra ánh sáng và nở ra đom đóm (theo dân gian Mường),,
cằl ngổm,Miêu tả ánh sáng lấp lóa của ngọn đèn dầu trẩu,,
cằl ngao,Miêu tả ánh sáng lấp lóa của ngọn đèn dầu trẩu,,
cằl quãi,mô tả động tác vẫy nón,,
hoặc vẫy tay gọi nhau.,Pơi thay càl quãi,Vấy tay loáng thoáng.,
cằl quăc,"mô tả tiếng người hú gọi nhau, hoặc chim kêu tìm nhau",Hốc ngay cằl quăc nhơ chim páng páng hốc ỗi.,Hú gọi tìm ai như chim từ quy gọi bạn.
cằl wách,"mô tả tiếng nói trong trẻo, lời nói khôn khéo",Khẻo mẽnh cằl wách.,Khéo miệng nói lời trong vắt.
cẳl gáy.,Ca cẳl rai là khênh lảng rồi,Gà gáy dồn là trời sắp sáng rồi.,
cẳl hãng,"(gà) gáy rạng, gáy sáng",Ca cẳl hãng.,Gò gáy sáng.
căm,nồng,Pôl căm.,Vôi nồng.
căm,cả,Ăn cả căm xiêng.,Ăn cá cả xương.
căm pôl,"nồng vôi, vôi nông",Năl nắl nhơ tỉa căm pôl.,Nảy giãy như đỉa nông vôi.
cẳm,cắm,Cẳm cọc.,Cắm cọc.
cẳm,cắm,"Chở lễ tha, da cẳm pao đỉ cho ho.","Đừng lấy ra, anh cắm ở đó cho tôi."
cẳm đốc,cắm đò,Cẳm đốc cho cẩng.,Cắm treo đò lại cho cứng khỏi trôi.
cẳm cờ,cắm cờ,Ha cẳm cờ ớ ni dửa.,Ta cắm cờ ở đây nhỉ.
cẳm khoe,cắm cân để uống rượu,,
cẳm lều,cắm lều,"Thổl hồi, cẳm lều tí táy tãm têm may.",Tối rồi cắm lều để ngủ tạm đêm nay.
cẳm măt,cắm mặt,Là chi mà cẳm măt thuổng nhơ thỉa?,Làm cái gì mà cắm mặt xuống như vậy?
cẳm tlãi,cắm trại,"Ngày dao con ti cẳm tlãi, cho con mườl tồng mãng háy.",Ngày mai con đi cắm trại cho con mười đồng mẹ nhé.
cẳm wa,cắm hoa,Cẳm wa i là ngễ thuât.,Cắm hoa cũng là nghệ thuật.
cẵm cẵm,"bỗng nhiên, bỗng dưng",Nả tang ti cẵm cẵm cải xe tâm phái nả.,Nó đang đi bỗng nhiên chiếc xe đâm phải nó.
cẵm cẵm,"bỗng nhiên, bỗng dưng",Tang dỗng cẵm cẵm nả nhãm.,Đang chơi bỗng dưng nó khóc.
căn cay,căn cay (một loại cây lá thơm làm gia vị),,
căn cơ,căn cơ,Enh đỉ là ăn nả hay căn cơ rồi.,Anh ấy thì làm ăn căn cơ rồi.
cằn nhằ,cằn nhằn,Da là po mà cằn nhằn mãi.,Mày làm sao mà cằn nhần mãi?
cẳn,con dúi,Cẳn hay ăn băng.,Con dúi hay ăn măng.
cẳn,"(dốc) đứng, dựng đứng",Cải chỏng Cun cắn lẳm.,Dốc Cun đốc đứng lắm.
căng,choắt,"Nả là wiệc từ quả hê, mõl nả căng lãi, chăng cá nối.","Nó làm việc nhiều quá người choắt lại, không lớn nổi."
căng,"rắn rỏi, chắc",Mõl đói căng.,Người nhỏ chắc.
căng chac,căng dây,Hảo cẩl thắng hàng phái căng chac.,Muốn thẳng hàng phải căng dây.
cẵng,càng,Ủn nì cẵng cá liênh cẵng thốch.,Em này càng lớn lên càng xinh đẹp.
cẵng,càng,Cẵng páo cẵng là.,Càng bảo càng làm.
cẵng,càng,Cẵng pỗ cẵng dớ.,Càng nói càng đỡ.
căp,gặp,"Ho hảo căp ông Bùi Văn Táy, là ơn da chi đủm pỡi.","Làm ơn ông chỉ giúp, tôi muốn gặp ông Bùi Văn Táy."
căp kè,cặp kè,Hai người nả căp kè pỡi rà cá ngày.,Hai người họ cặp kè với nhau cả ngày.
căp rà,gặp nhau,"Lô lẳm rồi ha mởi căp rà, ông khóe chăng è?","Lâu lắm mới lại gặp nhau, ông khỏe không ạ?"
căp rà lẫn,tái ngộ,Hẽn môch ngày tà lãi căp rà lẫn.,Hẹn (một) ngày tái ngộ.
cắp,cắp,Da cắp cải chi ớ chờ kéch thỉa.,Anh cấp cái gì dưới nách vậy.
cắp,cắp,Cảy cua hay cắp.,Con cua hay cắp.
cắp,gắp,Cắp nhúc ăn cho từ pao.,Gắp thịt ăn cho nhiều vào.
cắp kéch,ẵm nách,Ủn nả chua pể cắp kéch ấn no.,Em chưa ấm nách được đâu.
cắp kéch,cắp nách,Da cắp kéch cảy chi đỉ.,Cậu cắp nách cái gà đấy.
cắp kẻnh,đồ lễ,Nòm năp cắp kẻnh.,Đồ lễ.
cắp pải,đan phên tranh,Da tang cắp pải à?,Cậu đang đan phên tranh à?
cắp thăm,bốc thăm,Công bình nhất pằng cách là cắp thăm.,Công bằng nhất là bằng cách bốc thăm.
cặp,gặp,Cặp hà.,Gặp nhau.
căt,cộc,Ho mua ảo căt thay.,Tôi mua áo cộc tay.
căt đe đe,mô tả tiếng côn trùng kêu,,
cấc lấc,lấc cấc,Thàng nì hay pỗ cấc lấc.,Thằng này hay nói lấc cấc.
câl,cây,Câl nì là câl tu.,Cây này là cây xoan.
câl,"khởi đâu, bắt đâu",Cải nì câl pớ no?,Cái này khởi đầu từ đâu?
câl,"khởi đâu, bắt đâu",Câl tũn thẩng nhà.,Bắt đầu gây dựng nhà cửa.
câl,"khởi đâu, bắt đâu",Câl pớ no?,Bắt đầu từ đâu.
câl ăn tlải,cây ăn quả,Ho mởi lông môch wần câl ăn tlải.,Tớ mới trông một vườn cây ăn quả.
câl cổl,cây cối,"Wần nhà da cỏ từ câl cổl, máich dửa.","Vườn cậu có nhiều cây cối, mát nhỉ."
câl khăng,"cây săng, quan tài",Câl khăng thốch nhất là cái pi.,Gỗ cây pi làm quan tài thì tốt nhất.
câl lõi,lõi (cây),Mẩy cải côt nhà là pằng câl lõi nả pền lẳm.,Mấy cái cột nhà làm bằng gỗ lõi thì bền lắm.
câl nhò,cây nhò (một loại cây trên rừng rất chắc hay dùng để làm nỏ),,
câl thá,cây cối (những cây cối mọc trên khu mộ địa),,
câi thã má mên,khu nghĩa địa,,
cầl cầl,đè giữ khư khư (một cái gì đó khá mạnh),,
cầl nhanh,mô phỏng tiếng nói tiếng cười xen lẫn nhau; nhao nhao,,
cẩl,cấy,Ủn Nhàn ti cẩl à?,Cô Nhàn đi cấy à?
cẩl hải,cấy hái,Mùa cẩl hải là mùa pui.,Mùa cấy hái là mùa vui.
cẩl thê,cấy rẽ,Mễ đỉ chăng cỏ nà phái ti cẩl thê.,Bà ấy không có ruộng phải đi cấy rẽ.
cầm,cầm,"Hal pãn cầm thay rà, khám qua hỏl.",Hai bạn nắm tay nhau lội qua suối.
cầm đồ,cầm đồ,"Tủng mẵn hê,",
phái cầm đồ tí lễ tiền tlá nỡ.,"Túng quá, phải cầm đồ để lấy tiền trả nợ",,
cầm hơi,cầm hơi,Ăn chảo cầm hơi.,Ăn cháo cầm hơi.
cầm khả nẵm,cầm đằng chuôi,"Cầm tao cầm khả nẵm, cầm khả",
lãi mà tếch.,"Cẩm đằng chuôi dao, đừng cầm đằng lưỡi mù đứt tay",,
cầm lòng,cầm lòng,Đố cánh đỉ chăng cầm lòng án.,"Thấy cảnh đó, không cầm lòng nổi."
cẩm,gấm,Măc ảo cẩm.,Mặc áo gấm.
cẩm,cấm,Cẩm tàn ủn pao tình dỗng.,Cấm các em vào đình chơi.
cẩm cang,cấm cang (lên một loại đá),,
cẩm cang,mô tả tiếng con rùa kêu,Hò cẩm cang pà lang hảo Cuỗi.,"Rùa kêu cẩm cang, bà vợ lang thích thằng Cuội."
cẩm cãi,mô tả trạng thái giận dữ,Tỗng hơn cẩm cẫl.,Giận dữ.
cẩm cứa,cấm cửa,Nhà nả cẩm cứa pa ngày rồi.,Nhà nó cấm cửa ba ngày rôi.
cẩm tlãi,cấm trại,"Binh lỉnh tang phái cẩm tlãi, chăng ản tha wài.","Binh lính đang phải cấm trại, không được ra ngoài."
cẫm,gốc (cây),"Cẫm khi, ta.","Gốc cây si, đa."
cẫm,áng,Cẫm mầl dầm.,Áng mây đen.
cẫm,áng,Cẫm mầl wàng.,Áng mây vàng.
cân,cân,Ông cân nẵng ản hẳng nò?,Ông cán được bao nhiêu cân.
cân,"cân, cân đối","Tam lõ, chăng tí tòn tam cho cân, khỏ ti lẳm.",Gánh lúa không để đòn gánh cho cân khó đi lắm.
cân,"cân, cân đối",Ủn đỉ cân póc mênh.,Cô ấy có dáng vóc thân hình cân đối.
cân khữa,chính giữa,Da ngồi pao cân khữa nhà tí chup ánh.,Em ngồi chính giữa nhà để chụp ảnh.
cân khữa,chính giữa,Ngồi cân khữa chiểu.,Ngồi giữa chiếu.
cân pàn,cân bàn,Cân pàn nì cân ản từ lõ.,Cân bàn này cân được nhiều thóc.
cân phái,cân đúng,Da cân cho ho phái chăng?,Bà côn có đúng cho tôi không?
cân tã,cân tạ,Cãi cân nì là cân tã.,Cái cân này là cân tạ.
cân têm,nửa đêm,Cân têm ca cẳl.,Nứa đêm gà gáy.
cân tĩa,cân đĩa,Cân tĩa i cỏ từ cải tiễn.,Cân đĩa cũng có nhiều sự tiện.
cần,cần,Ho cần môch ói tiễn.,Tôi cần một ít tiền.
cần cau,cần câu,Cần cau nì pằng măng.,Cần câu này bằng trúc.
cần dùng,cần dùng,Da cần dùng cải nì chăng?,Cậu cần dùng cái này không?
cần mái,cần cấp; cần gấp,Ho cần mái cải nhà tí ớ.,Tôi cân cấp cái nhà để ở.
cần phái,cần phải,Ho cần phái là cho án wiêc đỉ.,Tôi cẩn phải làm được việc đó.
cần thiết,cần thiết,"Bút, khách, mâc cần thiết cho hoc tlò.","Bút, sách, mực cần thiết cho học sinh."
cấn,cắt,Da là ơn cấn cho ho môch nứa tlải hủng.,Anh làm ơn cắt cho tôi một nửa quả đu đủ.
cấn thẫn,cẩn thận,Enh Tư nhà ho tỉnh chăng ản cấn thẫn.,Anh Tư nhà tôi tính không được cẩn thận.
cẫn vễ,cận vệ,Cẫn vễ da no rồi?,Người cận vệ của anh đâu rồi?
cẩng cóng,cứng ngắc,Nả tà chít cẩng cóng tha rồi.,Nó đã chết cứng ngắc ra rồi.
cẩng cố,bạo dạn,Ủn Cao cẩng cố lẳm chăng đưới cải chi.,"Em Cao bạo dạn lắm, không sợ (cải) gì."
cẩng cố,cứng cổ,À thàng nì cẩng cố là hong.,"A, thằng này cứng cổ thật."
cẩng cố,bướng bỉnh,Đãy páo đa từ rồi mà đa còn cẩng cố.,Dạy dỗ con nhiều rồi mà con vẫn bướng bỉnh.
cẩng cố,gan dạ,"Nả cẩng cố lẳm, môch chắc nả đắm tị liênh tồl.","Nó gan dạ lắm, một mình nó dám lên đồi."
cẩng kel,cứng cổ,"Ủn đói nì chua cẩng kel, chua ngồi ản.",Em bé này chưa cứng cổ lắm nên chưa ngồi được.
cẩng khờ,cứng đờ,"Tập là uổn đéo mé mõl cử cẩng khờ tha, tí là po mà tâp án.","Tập uốn dẻo mà người thì cúng đờ ra, làm sao mà tập được."
cẩng lãi,cứng lưỡi,"Cải lãi nả cẩng, điênh chăng khể ản thiểng mõl.","Cái lưỡi nó cứng, nên nó không nói được tiếng Mường."
cẩng tã,vững dạ,Ti pỡi da ho măng cẩng tã lẳm.,Đi cùng với anh tôi cảm thấy vững dạ lắm.
cẩng tiốc,cứng đầu,"À, thàng nì cẩng tlố là hong.","A, thằng này cứng đầu thật."
cẩng tlỗng,vững lòng,"Ti pỡi mõl măt ảng khả, ho măng cẩng tlỗng lẳm.","Đi với người biết đường xá, tôi thấy vững lòng lắm."
cấp,gấp,Táy dẫl cổ cải ố y chăng cấp ản nưa à?,Ngủ dậy có cái chăn thôi cũng không gấp được à?
cấp,gấp,Da dàu cấp hal ho.,Cậu giàu gấp hai tớ.
cấp cửu,cứu,"Nả tau nẵng, phái cho ti cấp cửu.",Nó đau nặng phải cho đi cấp cứu.
cât hơi,hết thở,Mễ đỉ tà cât hơi rồi.,Bà ấy đã hết thở rồi.
cât khức,cật lực,Là cât khức mà chăng tú ăn.,Làm cật lực mà không đủ ăn.
cất công,cất công,Da tà cất công tiểnh ni phái ớ dỗng hơ.,Cậu đã cất công lên đây phải ở chơi đã.
cất dắc,cất nhắc,Khà đỉ mởi ản cất dắc liênh là quan.,Tay ấy mới được cất nhắc lên làm quan.
cất kễ,tắc kè,Con cất kễ ngâm rão ỏng y là môch tởng thuốc.,Con tắc kè ngâm rượu uống cũng là một vị thuốc.
cất miềnh,cất mình,Cất miềnh ha tều chõng dẫl.,Cất mình ta cùng đứng dậy.
cất nhà,cất nhà,Hôm đấp nhà An cất nhà.,Tối hôm kia nhà An cất nhà.
câu bằng cu chửi.,Ho khể câu đỉ da páo rằng câu bẳng da à?,"Tôi nói câu ấy, anh bảo rằng câu chửi anh à?",
câu đổi,câu đối,Thết pẫu hay đản câu đối ớ tlong nhà.,Tết người ta hay dán câu đối trong nhà.
câu kế,câu kể,Câu văn nì là dãng câu kế.,Câu văn này là dạng câu kể.
cầu,cầu,Cầu bong tẳng wãi.,Cầu vong giữ vía.
cầu xin,cầu xin,Ho cầu xin da lần nì là môch đã.,Tôi cầu xin anh lần này là lần thứ nhất.
cầy,"cầy, chó","À, hôm may ha ti ăn nhúc cầy tơ dửa.","À, tối hôm nay ta đi ăn thịt cây tơ nhỉ."
cầy hơm,cầy hương,Dồng cầy hơm i quỷ.,Giống cầy hương cũng quí.
cẫy,gậy,Cải cẫy ho mởi tí ớ ni ớ no rồi?,Cái gậy tôi mới để ở đây ở đâu rôi?
cẫy,cậy,Chở cẫy miềnh dàu cỏ mà khinh pẫu.,Đừng cậy mình giàu có mà khinh người ta.
cẫy tài,cậy tài,Cỏ tài mà cẫy chi tài.,Có tài mà cậy chi tài.
cẫy thể,cậy thế,Nả cẫy thể là quan pắt nat pẫu.,Hắn cậy thế làm quan bắt nạt người ta.
cha,vườn,Ca pao cha tắc cái.,Gà vào vườn rau cải.
chà,chè,Ăn pẻnh chà lam.,Ăn bánh chè lam.
chà,chết,Pổ mễ ti chit ti chà.,Chu mẹ đi chết.
chà,gần,,
chà bunh,giàn lọc nước tro để hoà màu nhuộm vải,Cải chà bunh nhà ha loc đá bunh ản pa chẫu rồi.,
chà huỗng,"góc nhà, phần dưới đất ở đầu nên nhà nơi đặt thang bắc lên nhà sàn",,
chà ơi,chao ôi,Chà ơi tau lẳm.,"Chao ôi, đau quá"
chà ơn,cảm ơn,Chà ơn da thôn nỡ.,Cảm ơn cháu nhé.
chả,rét,Mẩy ngày hôm may chăng chả nưa.,Mấy ngày hôm nay không rét nữa.
chít chả,chết rét,Còn chả bỏi lô tlu hay chít chả.,Rét sương muối làm trâu hay chết rét.
chả bỏi,rét sương muối,"Tỏl hum tã, chả bỏi hum lòng.","Đói chung dạ, rét giá sương muối chung lòng."
chả lăng xenh,"hàn giá, rét, lạnh",Mẩy may tlời chả lăng xenh.,"Mấy hôm nay, thời tiết giá rét."
chả lẽnh,giá lạnh,Pao nhà khói chả lẽnh.,Vào nhà cho khỏi giá lạnh.
chá,chả,Cải nì là chá cả.,Cái này là chả cá.
chá,đào,Cải hủ nì ông hảo chá thỉa nò?,Cái hố này ông muốn đào nó như thế nào?
chá,đào,Tào tất chá khe.,Đào nhái.
chá,"chà! (thán từ biểu thị sự xuýt xoa khen ngợi hoặc tình cảm đau đớn, yêu thương nồng nàn)",,
chá,giã (nhanh) (giã mau nhịp chày),Chá cáo.,Giã gạo.
chá cả,chả cá,Chá cả điênh ăn nhất là chá cả nheo.,Chả cá ngon nhất là chả cá nheo.
chá dò,chả giò,Mỏn chá dò ăn đo chăng chản.,Món chả giò ăn no không chán.
chá khây nò,chả bao giờ,Ho chá khây nò đẳm ỏng rão khay nưa.,Tôi chả bao giờ dám uống rượu say nữa.
chá nảng,chả nướng,Chí còn môch cắp chá nảng nưa thơi.,Chỉ còn một gắp chả nướng nữa thôi.
chá xảy,đào xới,Lễ xénh chá xảy tất liênh.,Lấy thuổng đào xới đất lên.
chã,dở,Enh đỉ thếnh tháng nả liênh cơn chã.,Anh ấy thỉnh thoảng lên cơn dở.
chac,"dây, chạc","Cải chac nì là chac dù, pền lẳm.",Cái dây này là dây dù chắc lắm.
chac,"dây, chạc","Hôm may ho ti pừa, tếch chac tlu.","Bữa nay tôi đi bừa, đứt chạc trâu."
chac băng,dây băng,Cải chac băng nì chăng mắt pẫu là pằng chi.,Dây băng này không biết người ta làm bằng gì.
chac bóc,dây bằng vóc,Tlải còn hồng tơm thua chac bóc.,Trái còn hồng đơm tua dây bằng vóc.
chac chun,dây chun,Ủn cỏ chac chun cho ho môch khưỡi.,Em có sợi dây chun cho tôi một sợi.
chac cung,dây cung,Chac cung pẫu hay là pằng cai.,Dây cung người ta hay làm bằng gai.
chac cương,dây cương,Chac cương ngữa ho hảo tếch rồi.,Dây cương ngựa của tôi sắp đút rồi.
chac dày,dây giày,Chac dày nì là pằng khỡi pông.,Dây giày này là làm bằng sơi bông.
chac gươm,dây gươn (dây để đeo gươm),,
chac khủng,dây súng,Chac khủng nì là pằng ta pò.,Dây súng này làm bằng da bò.
chạc lảo,dây bận bằng nứa,Chạc lảo chac tang.,"Dây nứa, đây dang."
chac lâng,dây lưng (dây vải tết 4 cạnh nhỏ thắt vào lưng của phụ nữ),Cải chac lâng nì hảo tếch rồi.,Cái dây lưng này gần đứt rồi.
chac lồ,dây hoa (dây làm bằng vải hoa),,
chac măc,dây móc,Chac măc kiền đỏn.,Dây móc kiền nón.
chac măc,dây móc,Dầm nhơ chac măc.,Đen như dây móc.
chac mằng,dây màng (dây mỏng căng ra làm cữ để nhẩy cao),,
chac nhỡ,"dây chỉ, dây gai",,
chac rút,giải rút,Chac rút quần da dài quả hê.,Giải rút quần mày dài quá.
chac thóc,cọng rơm,Chở cảnh chac thóc mà tếch mềm.,Đừng cắn cọng rơm mà đứt mồm.
chac tĩu,dây cao su,Ho cỏ hal chac tĩu dầm.,Tớ có hai dây cao su đen.
chac xích,dây xích,Chỏ cảnh tếch chac xích.,Chó cắn đứt dây xích.
chác,mua,Chăng pảinh chác chi nưa.,Chẳng bán chác gì nữa.
chach,chặt,Chach long cải câl cáp nì tha cho ho.,Chặt rời cái cây tre này ra cho tao.
chach,chặt,Da chach đủm ho câl nì pỡi.,Em chặt giúp cho tôi cát cây này  với.
chach ché,chặt và chẻ,Da lễ câl cúi chach tha rồi ché đủm ho pỡi.,"Anh lấy cây củi, chặt ra rồi, chẻ nhỏ giúp tôi với."
chach tếch,chặt đứt,Là po da chach tếch câl hủng ti rồi?,Làm sao anh chặt đứt cây đu đủ đi rồi?
chach tlốc,chợt đầu,Khây hơ là phái thỗi chach tlốc đã.,Ngày xưa là mắc tội chặt đầu đấy!
chai,chai,Ha ỏng hết chai rão nì.,Ta uống hết chơi rượu này.
chai tli,chai ba,Cải chai tli nì cỏ đởng cải chi chăng?,Cái chai ba này có đựng gì không?
chải ải,hình ảnh một nhà lầu của ma vô hình (do tưởng tượng mà có),Nhòm đố nhà lầu cảy ma đỉ điênh chải ải.,Nhìn thấy nhà ma vô hình hiện ra.
chái,chải,Cá ngày ho chí đố da chái thăc thơi.,"Suốt cả ngày, tôi chỉ thấy cô chải tóc thôi."
chái chuốt,chải chuốt,Da phái chái chuốt cho thốch pao.,Cậu phải chải chuốt cho đẹp vào.
